ABBREVIATION ,LATITUDE,LONGITUDE
MIA,25.78138889,-80.18805556
DAL,32.79055556,-96.81027778
ORL,28.53916667,-81.38361111
SAS,29.42694444,-98.4375
IND,39.76388889,-86.15555556
BKN,40.68265,-73.97468889
MIL,43.04361111,-87.91694444
OKC,35.46333333,-97.515
UTA,40.76833333,-111.9011111
MEM,35.13833333,-90.05055556
NYK,40.75055556,-73.99361111
NOP,29.94888889,-90.08194444
GSW,37.75027778,-122.2030556
DEN,39.74861111,-105.0075
ATL,33.75722222,-84.39638889
CLE,41.49638889,-81.68805556
POR,45.53166667,-122.6666667
SAC,38.64916667,-121.5180556
LAL,34.04305556,-118.2672222
LAC,34.04305556,-118.2672222
MIN,44.97944444,-93.27611111
BOS,42.36630278,-71.06222778
DET,42.69694444,-83.24555556
CHA,35.225,-80.83916667
HOU,29.75083333,-95.36222222
CHI,41.88055556,-87.67416667
PHX,33.44583333,-112.0713889
WAS,38.89805556,-77.02083333
PHI,39.90111111,-75.17194444
TOR,43.6435,-79.3791
